archivo,tipo,origen,lineas,bytes,sha256
package.json,json,escrito,39,2502,ce3015fe6064c5c298e8a6a400bebf05ecce5ed36998b300e75b64065d018f24
prototipo/build-artifact.sh,sh,escrito,9,341,170544e2f4837cf0b37e4404ce2fe2312eaffda10aad4daff5e607b57ba48c66
prototipo/index.html,html,escrito,2090,109667,7e284f5c7a51d8476efca002beec9369a16ced0a2cb8156a4d880cd337f26766
supabase/config.toml,toml,escrito,35,930,e2fa2e1d78c9ff89270d7df2cfc245eb9fb10a76b6fe36a60319865d1293df59
supabase/funciones-de-una-vez/asistente.ts,ts,generado,467,20076,7afc10505b3229ab2e5003ebd31fc88828b4ceb92386d5fa9ebbe517db04356e
supabase/funciones-de-una-vez/avisar.ts,ts,generado,293,11845,c9bdb7112056fa2759ba8b9d1ec049bc6900ce28f75887aa60228b4234e04c69
supabase/funciones-de-una-vez/borrar-cuenta.ts,ts,generado,166,6944,f7083dde38201974c27b109bd61bb631824494e09cb7df91ebbf0941a0a89b28
supabase/funciones-de-una-vez/fichas.ts,ts,generado,459,19540,dbfe93f5d446cef8f8dc86323c9bd9848471ca772a1beddf0cded6b942452126
supabase/funciones-de-una-vez/quiz.ts,ts,generado,451,19269,c77ea7251de0ea0a35abbd4ad79578a4e2e6179904d6f164e85507e460f68569
supabase/funciones-de-una-vez/resumen.ts,ts,generado,362,13986,8ee6cea1055a1365979dde71f5fe7a87e836574559b261e30e683c4f04eb9f3a
supabase/funciones-de-una-vez/sala.ts,ts,generado,278,9878,a8e6b098d859df6ee5856fb9fefd035ce51e756980ff48355cd9f8ae137f073c
supabase/funciones-de-una-vez/tutor.ts,ts,generado,370,15144,bbf3fb071f84a09348053baa780e3a26f92c5ec98bd98918c921533b87558905
supabase/functions/_compartido/asistente-nucleo.prueba.ts,ts,escrito,149,6268,f3e54164448b6019f72dbe379340d56e329ec22a7245ae0ff4f82a0a0c6568c3
supabase/functions/_compartido/asistente-nucleo.ts,ts,escrito,135,6532,ed3c31a41c8273d01662349b1b0655ef7bea1fcfbe9e9aceb8456c34456276cb
supabase/functions/_compartido/avisos-nucleo.prueba.ts,ts,escrito,50,2029,fcc005b20b584467ca0d79097077c36a4c903812b20bab06a9f67466f0578127
supabase/functions/_compartido/avisos-nucleo.ts,ts,escrito,65,2476,79d4eb75498034d38487657ec39d51a61cb18402aa4953bc9ac12f825900d315
supabase/functions/_compartido/cors.ts,ts,escrito,24,816,57a72617a9505bc76c0f13c26f851b2fa206c06954b3907886645857746e4f47
