paquete,licencia
jest-cli@29.7.0,"MIT"
jest-config@29.7.0,"MIT"
jest-diff@29.7.0,"MIT"
jest-diff@30.4.1,"MIT"
jest-docblock@29.7.0,"MIT"
jest-each@29.7.0,"MIT"
jest-environment-jsdom@29.7.0,"MIT"
jest-environment-node@29.7.0,"MIT"
jest-expo@57.0.4,"MIT"
jest-get-type@29.6.3,"MIT"
jest-haste-map@29.7.0,"MIT"
jest-leak-detector@29.7.0,"MIT"
jest-matcher-utils@29.7.0,"MIT"
jest-matcher-utils@30.4.1,"MIT"
jest-message-util@29.7.0,"MIT"
jest-message-util@30.4.1,"MIT"
jest-mock@29.7.0,"MIT"
jest-mock@30.4.1,"MIT"
jest-pnp-resolver@1.2.3,"MIT"
jest-regex-util@29.6.3,"MIT"
jest-regex-util@30.4.0,"MIT"
jest-resolve-dependencies@29.7.0,"MIT"
jest-resolve@29.7.0,"MIT"
jest-runner@29.7.0,"MIT"
jest-runtime@29.7.0,"MIT"
jest-snapshot@29.7.0,"MIT"
jest-util@29.7.0,"MIT"
jest-util@30.4.1,"MIT"
jest-validate@29.7.0,"MIT"
jest-watch-select-projects@2.0.0,"MIT"
jest-watch-typeahead@2.2.1,"MIT"
jest-watcher@29.7.0,"MIT"
jest-worker@29.7.0,"MIT"
jest@29.7.0,"MIT"
jimp-compact@0.16.1,"MIT"
js-tokens@4.0.0,"MIT"
js-yaml@3.15.1,"MIT"
js-yaml@4.3.1,"MIT"
jsc-safe-url@0.2.4,"0BSD"
jsdom@20.0.3,"MIT"
jsesc@3.1.0,"MIT"
json-parse-even-better-errors@2.3.1,"MIT"
json5@2.2.3,"MIT"
kleur@3.0.3,"MIT"
lan-network@0.2.1,"MIT"
leven@3.1.0,"MIT"
lighthouse-logger@1.4.2,"Apache-2.0"
lightningcss-linux-x64-gnu@1.33.0,"MPL-2.0"
lightningcss-linux-x64-musl@1.33.0,"MPL-2.0"
lightningcss@1.33.0,"MPL-2.0"
lines-and-columns@1.2.4,"MIT"
locate-path@5.0.0,"MIT"
lodash.debounce@4.0.8,"MIT"
lodash.throttle@4.1.1,"MIT"
lodash@4.18.1,"MIT"
log-symbols@2.2.0,"MIT"
loose-envify@1.4.0,"MIT"
lru-cache@10.4.3,"ISC"
lru-cache@11.5.2,"BlueOak-1.0.0"
lru-cache@5.1.1,"ISC"
make-dir@4.0.0,"MIT"
makeerror@1.0.12,"BSD-3-Clause"
marky@1.3.0,"Apache-2.0"
math-intrinsics@1.1.0,"MIT"
mdn-data@2.0.14,"CC0-1.0"
memoize-one@5.2.1,"MIT"
memoize-one@6.0.0,"MIT"
merge-options@3.0.4,"MIT"
merge-stream@2.0.0,"MIT"
metro-babel-transformer@0.84.5,"MIT"
metro-cache-key@0.84.5,"MIT"
metro-cache@0.84.5,"MIT"
metro-config@0.84.5,"MIT"
metro-core@0.84.5,"MIT"
metro-file-map@0.84.5,"MIT"
metro-minify-terser@0.84.5,"MIT"
metro-resolver@0.84.5,"MIT"
metro-runtime@0.84.5,"MIT"
metro-source-map@0.84.5,"MIT"
metro-symbolicate@0.84.5,"MIT"
metro-transform-plugins@0.84.5,"MIT"
metro-transform-worker@0.84.5,"MIT"
metro@0.84.5,"MIT"
micromatch@4.0.8,"MIT"
mime-db@1.52.0,"MIT"
mime-db@1.54.0,"MIT"
mime-types@2.1.35,"MIT"
mime-types@3.0.2,"MIT"
mime@1.6.0,"MIT"
mimic-fn@1.2.0,"MIT"
mimic-fn@2.1.0,"MIT"
min-indent@1.0.1,"MIT"
minimatch@10.2.6,"BlueOak-1.0.0"
minimatch@3.1.5,"ISC"
minipass@7.1.3,"BlueOak-1.0.0"
mkdirp@1.0.4,"MIT"
ms@2.0.0,"MIT"
